model,k,n_steady,blocks,cold_start_s,steady_median_s,steady_mean_s,steady_p95_s,steady_sd_s,block_medians,drift_ratio,stable,mean_context_chars,retrieve_median_s,generate_median_s,meets_nfr,pct_under_nfr
llama3.1:8b,1,60,3,10.09,0.7,0.87,2.11,0.5,0.72 / 0.7 / 0.72,1.03,True,437,0.009,0.69,True,100.0
llama3.1:8b,3,60,3,7.84,1.1,1.25,2.32,0.6,1.15 / 1.07 / 1.06,1.08,True,1337,0.01,1.09,True,100.0
llama3.1:8b,5,60,3,6.02,1.23,1.56,3.26,0.92,1.75 / 1.14 / 1.12,1.56,True,2224,0.01,1.23,True,100.0
llama3.1:8b,10,60,3,6.99,1.9,1.94,3.65,0.99,2.39 / 1.5 / 1.53,1.59,True,4404,0.01,1.89,True,100.0
